,ibgecode,nome,uf,data_inicial,data_final,total
0,2802007,Divina Pastora,SE,2024-04-29,2024-04-29,1
1,3519600,Ibitinga,SP,2024-07-16,2024-07-16,1
2,5103403,Cuiabá,MT,2024-05-06,2024-05-06,1
3,4113700,Londrina,PR,2024-05-16,2024-06-03,2
4,2802304,Frei Paulo,SE,2024-05-16,2024-05-16,1
5,2804607,Nossa Senhora das Dores,SE,2024-04-29,2024-04-29,1
6,5300108,Brasília,DF,2024-05-28,2024-05-28,1
7,3543907,Rio Claro,SP,2024-05-15,2024-05-15,1
8,2927408,Salvador,BA,2024-04-16,2024-04-16,1
9,4305108,Caxias do Sul,RS,2024-06-10,2024-06-10,1
10,2801108,Canhoba,SE,2024-04-17,2024-04-17,1
11,3506508,Birigui,SP,2024-08-23,2024-08-28,2
12,1501402,Belém,PA,2024-02-28,2024-03-14,2
13,1302603,Manaus,AM,2024-03-27,2024-03-27,1
14,3528007,Macatuba,SP,2024-06-12,2024-06-12,1
15,3525904,Jundiaí,SP,2024-01-05,2024-03-13,3
16,4125605,São Mateus do Sul,PR,2024-06-25,2024-06-25,1
17,2306900,Jaguaribe,CE,2024-05-15,2024-05-15,1
18,3541307,Presidente Epitácio,SP,2024-08-28,2024-08-28,1
19,2910800,Feira de Santana,BA,2024-01-17,2024-06-18,2
20,3531308,Monte Alto,SP,2024-03-19,2024-03-19,1
21,2906824,Canudos,BA,2024-07-10,2024-07-10,1
22,3505005,Barão de Antonina,SP,2024-07-05,2024-07-05,1
23,2804706,Nossa Senhora de Lourdes,SE,2024-05-22,2024-05-22,1
24,3557006,Votorantim,SP,2024-03-22,2024-03-22,1
25,3522703,Itápolis,SP,2024-07-02,2024-07-22,2
26,3504503,Avaré,SP,2024-07-25,2024-07-25,1
27,2803005,Itabaianinha,SE,2024-04-19,2024-05-16,2
28,3304557,Rio de Janeiro,RJ,2024-03-13,2024-08-22,3
29,3528106,Macaubal,SP,2024-07-22,2024-07-22,1
30,3305109,São João de Meriti,RJ,2024-06-20,2024-06-20,1
31,2800605,Barra dos Coqueiros,SE,2024-05-22,2024-05-22,1
32,4103453,Cafelândia,PR,2024-07-01,2024-07-01,1
33,2704302,Maceió,AL,2024-03-19,2024-05-28,2
34,3513603,Cunha,SP,2024-09-02,2024-09-02,1
35,2804300,Muribeca,SE,2024-05-15,2024-05-15,1
36,3533304,Nova Luzitânia,SP,2024-04-26,2024-04-26,1
37,2301703,Aurora,CE,2024-01-09,2024-01-09,1
38,3556206,Valinhos,SP,2024-04-19,2024-04-19,1
39,3556305,Valparaíso,SP,2024-05-18,2024-05-18,1
40,2807105,Simão Dias,SE,2024-07-15,2024-07-15,1
41,3550605,São Roque,SP,2024-06-28,2024-07-05,2
42,2914703,Itaberaba,BA,2024-07-08,2024-07-08,1
43,3531803,Monte Mor,SP,2024-07-17,2024-07-17,1
44,3170107,Uberaba,MG,2024-04-09,2024-04-09,1
45,3530201,Mirante do Paranapanema,SP,2024-05-07,2024-05-07,1
46,3557105,Votuporanga,SP,2024-05-09,2024-05-09,1
47,3548500,Santos,SP,2024-01-17,2024-01-17,1
48,3106200,Belo Horizonte,MG,2024-04-04,2024-06-21,3
49,3170206,Uberlândia,MG,2024-05-02,2024-05-08,2
50,1721000,Palmas,TO,2024-02-08,2024-02-08,1
51,3551702,Sertãozinho,SP,2024-05-20,2024-05-20,1
52,3303302,Niterói,RJ,2024-07-20,2024-07-20,1
53,3534401,Osasco,SP,2024-03-20,2024-04-22,2
54,3537305,Penápolis,SP,2024-04-19,2024-04-19,1
55,2904506,Brotas de Macaúbas,BA,2024-07-05,2024-07-05,1
56,3305158,São José do Vale do Rio Preto,RJ,2024-06-12,2024-06-12,1
57,4126702,Tamboara,PR,2024-05-27,2024-05-27,1
58,2918407,Juazeiro,BA,2024-07-19,2024-07-19,1
59,2302800,Canindé,CE,2024-02-22,2024-02-22,1
60,2303204,Caririaçu,CE,2024-08-01,2024-08-01,1
61,3548708,São Bernardo do Campo,SP,2024-01-05,2024-07-19,3
62,2303709,Caucaia,CE,2024-04-12,2024-05-20,2
63,2900306,Acajutiba,BA,2024-07-06,2024-07-06,1
